X,M,Y,N,Indirect,CI_low,CI_high,p_approx,Dataset
TR,PSI,PI,1000,0.6516669622793484,0.5937487357183043,0.7137348002094811,0.0,Synthetic_Pilot
EX,PSI,PI,1000,0.67803427578179,0.6204356006661469,0.7288351579910999,0.0,Synthetic_Pilot
AT,PSI,PI,1000,0.4661308120481239,0.40456729737232133,0.5127430564789293,0.0,Synthetic_Pilot
Homophily,PSI,Purchase_Intention,574,0.2680806583467558,0.2201708350530475,0.3250065812155834,0.0,Dataset1_Qatar_Instagram
Homophily,PSI,WOM,574,0.36129118277416405,0.29956524172879084,0.43896496082296377,0.0,Dataset1_Qatar_Instagram
Popularity,PSI,Purchase_Intention,574,0.23658083455074375,0.18329374724921546,0.2902453251377668,0.0,Dataset1_Qatar_Instagram
Popularity,PSI,WOM,574,0.25212516838648147,0.20368375616689458,0.30905209528719557,0.0,Dataset1_Qatar_Instagram
Leverage,PSI,Purchase_Intention,574,0.32907480129809336,0.266900581977627,0.3988687390770005,0.0,Dataset1_Qatar_Instagram
Leverage,PSI,WOM,574,0.3349528583090865,0.27937591277997337,0.4012832826396137,0.0,Dataset1_Qatar_Instagram
Fashionability,PSI,Purchase_Intention,574,0.28355288736597734,0.2326576824468426,0.3426660748566671,0.0,Dataset1_Qatar_Instagram
Fashionability,PSI,WOM,574,0.31315445522644164,0.26307902939240563,0.3681705121016511,0.0,Dataset1_Qatar_Instagram
Affability,PSI,Purchase_Intention,574,0.3880138130334137,0.3162862260618253,0.46514500627167715,0.0,Dataset1_Qatar_Instagram
Affability,PSI,WOM,574,0.36898517026437144,0.3015237512883475,0.44825781665474296,0.0,Dataset1_Qatar_Instagram
Attractiveness,Attitude_SMI,Purchase_Behaviour,376,-0.014816481979151102,-0.06656161090722248,0.035877006824999474,0.51,Dataset2_SMI_Attitude
Expertise,Attitude_SMI,Purchase_Behaviour,376,0.006483047298395558,-0.022710308780557062,0.04215114413560436,0.57,Dataset2_SMI_Attitude
Trustworthiness,Attitude_SMI,Purchase_Behaviour,376,0.005397351193919514,-0.026232787661540427,0.03325613144209902,0.61,Dataset2_SMI_Attitude
