Model,Dependent,Predictor,Beta_unstd,SE,t,p,R2,Adj_R2,N
Synthetic: Credibility -> PSI,PSI,const,-1.0818849776975252,0.12585855377141283,-8.596038531178971,3.157023666642253e-17,0.6565370879607376,0.6555025611172458,1000
Synthetic: Credibility -> PSI,PSI,TR,0.48369721301909907,0.02793598223222558,17.314487423360745,6.453376132369116e-59,0.6565370879607376,0.6555025611172458,1000
Synthetic: Credibility -> PSI,PSI,EX,0.5018147916141608,0.027598846077154356,18.182455534963495,5.1460791876301316e-64,0.6565370879607376,0.6555025611172458,1000
Synthetic: Credibility -> PSI,PSI,AT,0.2816575563960036,0.024460713046312827,11.51469116467397,6.839002892685401e-29,0.6565370879607376,0.6555025611172458,1000
Synthetic: PI model,PI,const,-0.33593427609306625,0.1283482807543361,-2.6173648304339836,0.00899576091416099,0.7200412165751325,0.7186329731977439,1000
Synthetic: PI model,PI,TR,0.10168092837344114,0.029865979061465226,3.4045737514306245,0.0006891545994581447,0.7200412165751325,0.7186329731977439,1000
Synthetic: PI model,PI,EX,0.06474827453357196,0.029728306478039934,2.178000774494201,0.029640452436276707,0.7200412165751325,0.7186329731977439,1000
Synthetic: PI model,PI,AT,0.010906574173251074,0.02436601936492724,0.4476141141441485,0.654529244766513,0.7200412165751325,0.7186329731977439,1000
Synthetic: PI model,PI,PSI,0.6131803121213317,0.03144228937018545,19.501770526378028,5.655708943321992e-72,0.7200412165751325,0.7186329731977439,1000
Synthetic: PI model,PI,PIF,0.2792844498341942,0.025514890143905955,10.94593973397527,2.0842923369051628e-26,0.7200412165751325,0.7186329731977439,1000
Synthetic: PSI x PIF moderation,PI,const,3.8198550769117787,0.04242399236673182,90.03997181338465,0.0,0.7149554388644215,0.7140968709091938,1000
Synthetic: PSI x PIF moderation,PI,PSI_z,1.4458514252011478,0.04426711873135075,32.66197273817983,1.198169135249082e-159,0.7149554388644215,0.7140968709091938,1000
Synthetic: PSI x PIF moderation,PI,PIF_z,0.49754646892652593,0.044288034545314284,11.234331666207726,1.1749350706590667e-27,0.7149554388644215,0.7140968709091938,1000
Synthetic: PSI x PIF moderation,PI,PSI_X_PIF,0.04223467718595042,0.03873324172082197,1.0903987197964422,0.2758012696243987,0.7149554388644215,0.7140968709091938,1000
D1: Influencer attributes -> PSI,PSI,const,0.18950809519021794,0.10305287873857429,1.8389403334472998,0.06644579421690044,0.6185992529808292,0.615241852038759,574
D1: Influencer attributes -> PSI,PSI,Homophily,0.3174366136305735,0.025079056752417124,12.657438306565455,1.6018163590168904e-32,0.6185992529808292,0.615241852038759,574
D1: Influencer attributes -> PSI,PSI,Popularity,0.013053567636885803,0.02901358022694208,0.449912335354057,0.6529453042612067,0.6185992529808292,0.615241852038759,574
D1: Influencer attributes -> PSI,PSI,Leverage,0.1799474745368054,0.03401540423811143,5.290175982538794,1.7471546917531022e-07,0.6185992529808292,0.615241852038759,574
D1: Influencer attributes -> PSI,PSI,Fashionability,0.08966587252122098,0.03271498079439161,2.7408199651638663,0.006321506167703989,0.6185992529808292,0.615241852038759,574
D1: Influencer attributes -> PSI,PSI,Affability,0.3330293476654119,0.03360402302601114,9.910401126901712,1.8375206413027487e-21,0.6185992529808292,0.615241852038759,574
D1: Attributes + PSI -> PI,Purchase_Intention,const,0.6165181027519748,0.1531704390602921,4.02504625914989,6.470160404932459e-05,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,Homophily,0.21490697880442614,0.042081518672707735,5.1069207001743875,4.478725452815731e-07,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,Popularity,0.09226105335674258,0.04300357176036696,2.145427683794684,0.03234269293155429,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,Leverage,-0.08497747428328466,0.05163513499286096,-1.6457296818345413,0.10037359899920768,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,Fashionability,0.15535973561801894,0.048800644993458285,3.1835590623616734,0.0015345264160434363,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,Affability,-0.056505357578908594,0.053932491600367144,-1.047705305321439,0.2952207981406509,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> PI,Purchase_Intention,PSI,0.464135249316177,0.0621801356466137,7.464365339342157,3.170209478029417e-13,0.37120933476785933,0.36455546529450333,574
D1: Attributes + PSI -> WOM,WOM,const,0.2982610222051479,0.14251628241402436,2.0928206739119752,0.036809047896088465,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,Homophily,0.1159393487312253,0.03915443238502406,2.961078520846346,0.003193951597012215,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,Popularity,0.13760293601054113,0.04001234974197463,3.439011627607311,0.0006267348702292459,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,Leverage,0.028768484565764838,0.048043522799018676,0.5988004810994513,0.5495450897233927,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,Fashionability,0.09550761863997637,0.045406192908650014,2.1034051199166246,0.03587032644919928,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,Affability,0.118496398260174,0.050181080966833276,2.3613759603642874,0.01854447666597875,0.48512171707204965,0.47967326963365864,574
D1: Attributes + PSI -> WOM,WOM,PSI,0.4523474180756864,0.05785503930603044,7.818634703244192,2.615692729550377e-14,0.48512171707204965,0.47967326963365864,574
D2: Drivers -> Attitude_SMI,Attitude_SMI,const,1.0686380881199418,0.19086976636138694,5.598781349669676,4.213314454885478e-08,0.35243216329457483,0.34368124658233934,376
D2: Drivers -> Attitude_SMI,Attitude_SMI,Convenience,0.37424382216313246,0.0394865671517875,9.477750261868255,3.196437312909444e-19,0.35243216329457483,0.34368124658233934,376
D2: Drivers -> Attitude_SMI,Attitude_SMI,Interactivity,0.09943762730885873,0.06284128503156075,1.5823614564679607,0.11442145817391369,0.35243216329457483,0.34368124658233934,376
D2: Drivers -> Attitude_SMI,Attitude_SMI,Attractiveness,0.2009562393698179,0.05745152660532871,3.497839852895727,0.0005261188771681056,0.35243216329457483,0.34368124658233934,376
D2: Drivers -> Attitude_SMI,Attitude_SMI,Expertise,0.0367348434280487,0.06766442001916217,0.5428974846403117,0.5875272669137472,0.35243216329457483,0.34368124658233934,376
D2: Drivers -> Attitude_SMI,Attitude_SMI,Trustworthiness,0.0066685174087528845,0.07057643262147709,0.09448646185502425,0.9247738833302971,0.35243216329457483,0.34368124658233934,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,const,0.5168999420862379,0.16725641192104815,3.090464133179156,0.002150164818155037,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Convenience,0.1066549370188929,0.03703675606497352,2.8797051456609304,0.004212638855614608,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Interactivity,0.1799457684646868,0.05305134808161122,3.391916981786557,0.0007692145595956475,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Attractiveness,0.037928873894504354,0.04913067224832698,0.7719998965777621,0.4406086198920002,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Expertise,0.1426482146459931,0.056953459245895455,2.504645311009331,0.012687939207020311,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Trustworthiness,-0.1491895431570326,0.059381583940514196,-2.5123873978586353,0.012417589829078837,0.524350376946222,0.5166162367339654,376
D2: Drivers + Att_SMI -> Att_Product,Attitude_Product,Attitude_SMI,0.533600362863231,0.043740724647801286,12.199166043995877,5.450821225734483e-29,0.524350376946222,0.5166162367339654,376
D2: Purchase behaviour model,Purchase_Behaviour,const,0.46308742975977996,0.2140069024678894,2.163890156903999,0.031115652510876935,0.1602048900240265,0.14423052651904866,376
